h_a,minutes_since_last_goal_before_match,reliability_score,delay_score,time_last_3_matches,goals_last_3_matches,xG_last_3_matches,total_team_matches_before_match,team_pts_before_match,total_team_goals_scored_before_match,total_team_xg_before_match,total_opponent_matches_before_match,opponent_pts_before_match,total_opponent_goals_conceded_before_match,total_opponent_xga_before_match,opponent_clean_sheet_rate_before_match,scored,starting,league_Bundesliga,league_EPL,league_La_Liga,league_Ligue_1,league_Serie_A,ratio_min_goals_last_3_matches,ratio_min_xg_last_3_matches,ratio_pts_match,ratio_pts_match_opponent,ratio_goals_scored,ratio_xG,ratio_goals_conceded_opponent,ratio_xga_opponent
1,472.0,0.7174362677871489,3.2940042197434276,220.0,0.0,0.1879645437002181,21,44,43,50.49888,21,26,32,32.036017,0.2857142857142857,0,1,0.0,0.0,1.0,0.0,0.0,300.0,1170.4335066025792,2.0952380952380953,1.2380952380952381,2.0476190476190474,2.4047085714285714,1.5238095238095237,1.525524619047619
0,562.0,0.7174362677871489,4.121070214311041,234.0,0.0,0.2489662617444991,22,47,44,52.71625,22,26,27,29.936861999999998,0.22727272727272727,1,1,0.0,0.0,1.0,0.0,0.0,300.0,939.8863860523472,2.1363636363636362,1.1818181818181819,2.0,2.396193181818182,1.2272727272727273,1.3607664545454545
1,69.0,0.7174362677871489,-0.40941351148711014,258.0,1.0,0.739228531718254,23,50,47,54.27406,23,12,45,39.691016,0.043478260869565216,1,1,0.0,0.0,1.0,0.0,0.0,258.0,349.01250280519866,2.1739130434782608,0.5217391304347826,2.0434782608695654,2.3597417391304347,1.9565217391304348,1.725696347826087
0,28.0,0.7174362677871489,-0.7861880201234676,270.0,2.0,1.7918790429830551,24,51,50,56.79696,24,20,35,38.200425,0.16666666666666666,1,1,0.0,0.0,1.0,0.0,0.0,135.0,150.67981349372434,2.125,0.8333333333333334,2.0833333333333335,2.36654,1.4583333333333333,1.591684375
1,0.0,0.7174362677871489,-1.0434974406556141,270.0,4.0,2.44283390045166,25,54,52,58.30156,25,34,34,38.245441,0.32,0,1,0.0,0.0,1.0,0.0,0.0,67.5,110.5273673949257,2.16,1.36,2.08,2.3320624,1.36,1.52981764
0,84.0,0.7174362677871489,-0.2715691790591745,270.0,3.0,1.9525716304779053,26,57,56,60.95251,26,49,26,25.9502407,0.46153846153846156,0,1,0.0,0.0,1.0,0.0,0.0,90.0,138.27917797510744,2.1923076923076925,1.8846153846153846,2.1538461538461537,2.3443273076923075,1.0,0.9980861807692307
1,174.0,0.7174362677871489,0.5554968155084394,270.0,2.0,0.9210899397730827,27,58,56,61.667102,27,27,34,36.949124,0.25925925925925924,0,0,0.0,0.0,1.0,0.0,0.0,135.0,293.1309835677029,2.1481481481481484,1.0,2.074074074074074,2.2839667407407407,1.2592592592592593,1.368486074074074
0,200.0,0.7174362677871489,0.7944269917168613,206.0,0.0,0.1105508133769035,28,61,57,63.729352,28,55,31,33.598207,0.32142857142857145,1,1,0.0,0.0,1.0,0.0,0.0,300.0,1863.39651159037,2.1785714285714284,1.9642857142857142,2.0357142857142856,2.276048285714286,1.1071428571428572,1.1999359642857144
1,44.0,0.7174362677871489,-0.6391540655336696,206.0,1.0,0.3659800514578819,29,64,60,65.679012,29,37,32,44.0213408,0.2413793103448276,0,1,0.0,0.0,1.0,0.0,0.0,206.0,562.87220896166,2.206896551724138,1.2758620689655173,2.0689655172413794,2.264793517241379,1.103448275862069,1.517977268965517
0,129.0,0.7174362677871489,0.14196381822463247,201.0,1.0,0.6766194999217987,31,70,62,68.241897,31,78,20,30.988364,0.5161290322580645,0,1,0.0,0.0,1.0,0.0,0.0,201.0,297.06504176014863,2.2580645161290325,2.5161290322580645,2.0,2.2013515161290322,0.6451612903225806,0.9996246451612903
