h_a,minutes_since_last_goal_before_match,reliability_score,delay_score,time_last_3_matches,goals_last_3_matches,xG_last_3_matches,total_team_matches_before_match,team_pts_before_match,total_team_goals_scored_before_match,total_team_xg_before_match,total_opponent_matches_before_match,opponent_pts_before_match,total_opponent_goals_conceded_before_match,total_opponent_xga_before_match,opponent_clean_sheet_rate_before_match,scored,starting,league_Bundesliga,league_EPL,league_La_Liga,league_Ligue_1,league_Serie_A,ratio_min_goals_last_3_matches,ratio_min_xg_last_3_matches,ratio_pts_match,ratio_pts_match_opponent,ratio_goals_scored,ratio_xG,ratio_goals_conceded_opponent,ratio_xga_opponent
0,254.0,0.7174362677871489,1.2906665884574295,240.0,0.0,0.3897864520549773,35,82,95,93.796116,35,39,47,55.628552,0.2,0,1,0.0,0.0,1.0,0.0,0.0,300.0,615.7217592728166,2.342857142857143,1.1142857142857143,2.7142857142857144,2.6798890285714285,1.3428571428571427,1.5893872
1,321.0,0.7174362677871489,1.906371273302209,217.0,0.0,0.5166411176323888,36,85,97,94.531993,36,64,47,48.281608999999996,0.19444444444444445,0,1,0.0,0.0,1.0,0.0,0.0,300.0,420.0207699194479,2.361111111111111,1.7777777777777777,2.6944444444444446,2.6258886944444444,1.3055555555555556,1.3411558055555555
0,400.0,0.7174362677871489,2.6323514240893364,226.0,0.0,0.7472022250294684,37,85,99,96.100993,37,70,26,39.019919,0.40540540540540543,1,1,0.0,0.0,1.0,0.0,0.0,300.0,302.4616260893588,2.2972972972972974,1.8918918918918919,2.675675675675676,2.597324135135135,0.7027027027027027,1.0545924054054054
0,74.0,0.7174362677871489,-0.36346540067779826,236.0,2.0,2.8003364205360413,1,3,3,2.0243,1,0,2,1.72315,0.0,0,0,0.0,0.0,1.0,0.0,0.0,118.0,84.2755885576151,3.0,0.0,3.0,2.0243,2.0,1.72315
0,80.0,0.7174362677871489,-0.308327667706624,175.0,2.0,2.6308891773223877,2,6,6,4.50558,2,3,2,2.482894,0.0,0,0,0.0,0.0,1.0,0.0,0.0,87.5,66.51743505901221,3.0,1.5,3.0,2.25279,1.0,1.241447
1,88.0,0.7174362677871489,-0.23481069041172498,104.0,2.0,2.167034864425659,3,7,7,6.86332,3,4,2,2.753146,0.3333333333333333,1,0,0.0,0.0,1.0,0.0,0.0,52.0,47.991844389436565,2.3333333333333335,1.3333333333333333,2.3333333333333335,2.2877733333333334,0.6666666666666666,0.9177153333333333
1,5.0,0.7174362677871489,-0.9975493298463023,35.0,2.0,0.994024097919464,4,10,13,10.323540000000001,4,9,4,3.490494,0.5,0,1,0.0,0.0,1.0,0.0,0.0,17.5,35.21041398619665,2.5,2.25,3.25,2.5808850000000003,1.0,0.8726235
0,95.0,0.7174362677871489,-0.17048333527868834,119.0,2.0,1.7075090408325195,5,13,16,13.28783,5,3,8,7.879377,0.2,1,0,0.0,0.0,1.0,0.0,0.0,59.5,69.69216393839994,2.6,0.6,3.2,2.657566,1.6,1.5758754
1,21.0,0.7174362677871489,-0.8505153752565042,135.0,3.0,1.7998355925083158,6,16,19,15.35784,6,5,9,9.634027,0.16666666666666666,1,1,0.0,0.0,1.0,0.0,0.0,45.0,75.00685093790102,2.6666666666666665,0.8333333333333334,3.1666666666666665,2.55964,1.5,1.6056711666666665
0,32.0,0.7174362677871489,-0.7494295314760181,204.0,2.0,2.933380931615829,7,19,21,18.36738,7,10,10,12.001948,0.2857142857142857,0,1,0.0,0.0,1.0,0.0,0.0,102.0,69.54432607142785,2.7142857142857144,1.4285714285714286,3.0,2.6239114285714287,1.4285714285714286,1.714564
1,122.0,0.7174362677871489,0.07763646309159583,204.0,2.0,3.1255194842815395,10,22,25,24.3936,10,14,10,12.490192,0.3,0,0,0.0,0.0,1.0,0.0,0.0,102.0,65.2691499848043,2.2,1.4,2.5,2.4393599999999998,1.0,1.2490192
0,135.0,0.7174362677871489,0.19710155119580675,193.0,1.0,3.1253397613763805,11,25,28,27.2009,11,13,14,17.014065,0.0,1,1,0.0,0.0,1.0,0.0,0.0,193.0,61.753285957941415,2.272727272727273,1.1818181818181819,2.5454545454545454,2.472809090909091,1.2727272727272727,1.5467331818181818
1,18.0,0.7174362677871489,-0.8780842417420913,193.0,3.0,2.922665610909462,12,28,32,30.63026,12,17,13,10.998187,0.25,1,1,0.0,0.0,1.0,0.0,0.0,64.33333333333333,66.03560779570097,2.3333333333333335,1.4166666666666667,2.6666666666666665,2.552521666666667,1.0833333333333333,0.9165155833333333
1,64.0,0.7174362677871489,-0.455361622296422,170.0,4.0,2.2530274987220764,13,31,36,32.95948,13,15,12,13.379267,0.15384615384615385,0,1,0.0,0.0,1.0,0.0,0.0,42.5,75.45402801183052,2.3846153846153846,1.1538461538461537,2.769230769230769,2.5353446153846155,0.9230769230769231,1.0291743846153847
1,127.0,0.7174362677871489,0.12358457390090773,220.0,4.0,2.2714662775397296,14,34,39,35.470439999999996,14,31,11,14.19149,0.42857142857142855,0,1,0.0,0.0,1.0,0.0,0.0,55.0,96.85373812297419,2.4285714285714284,2.2142857142857144,2.7857142857142856,2.533602857142857,0.7857142857142857,1.013677857142857
0,199.0,0.7174362677871489,0.7852373695549989,202.0,1.0,1.5229374393820763,17,43,49,44.37921,15,35,13,18.198916,0.4666666666666667,0,0,0.0,0.0,1.0,0.0,0.0,202.0,132.63840967883777,2.5294117647058822,2.3333333333333335,2.8823529411764706,2.610541764705882,0.8666666666666667,1.2132610666666668
